Titolo;URL album;URL pubblico;Data da;Data a;Collabora attivo;Modificato;Stato
Arredi per Mezzocorona;https://photos.google.com/share/AF1QipPM-iDYhO6D4C3JsCTGLWTIS0phTgXijA8KYnr5ncMOczd1o6KimHpdQs---gpsDQ;;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 04 - Kotohira, Zensuji, Marugame;https://photos.google.com/share/AF1QipNG0Hog8sUjkiBGgccjGtdTdfYSVr1psLRDHvnzFA3o69n4DgqaNdibQ2-2i0q-Ug?key=dTN3LXdFVTJnV3JQYTFYWVZmdHFqSDY4UkZjZFBR;https://photos.app.goo.gl/RzXi7Eju4kPxCJUR6;;;NO;NO;Condiviso - Collabora disattivato
Lampadario Shoji 2026;https://photos.google.com/share/AF1QipPwWfVTmm7xycK0Ghaju8MmU4t2-3YzCrL3NKZXe_TZdj9HVQpOxLump-u3pdKCTA?key=T0JEZmN5WERMVll1M25wXzN5RExyMjhVMjVIOFFn;https://photos.app.goo.gl/SySV82e6k76xf77Z8;06/10/2023;27/11/2023;NO;NO;Condiviso - Collabora disattivato
Spagna 2026 (eclissi);https://photos.google.com/share/AF1QipMZkGwh9vxRLYuQa_PKXWmS-4pu29A95JT5qF_6ShuT4oXYztzaAivqg3EPsiby5w?key=SURaUHFEUUlidlh4OGVZWl80czE3YWZUMEZLRC1B;https://photos.app.goo.gl/MGh17UZghZryzdCG9;;;NO;NO;Condiviso - Collabora disattivato
Giappone 2011 - Kanazawa;https://photos.google.com/share/AF1QipMrHdjy7E2vv2PPqg8EC4RDsb9P3VTVQJe-Uh6DkqSoB7aWCSQ4_XBTL8hDbL6BbA?key=WXR2ZEVFVEt5MzU5SUU2dzdySERST0dEVzdpMEx3;https://photos.app.goo.gl/qgnG6Kvsphi7paiE9;20/05/2011;20/05/2011;;NO;Errore - switch Collabora non trovato
Umidità;https://photos.google.com/album/AF1QipOAg18cOaHfLtoEb62liHX9cBb8O95PFzPxrFwd;;;;;NO;Non condiviso
Foto casa in disordine;https://photos.google.com/share/AF1QipNWN_2h35c19KRkJHzHIiD5Jwid-SMTTKfLeM_ebXZ_buo67eD8cBDKJ64mnSNhRw?key=eUxiUlhLT0lUVUszb2NGMThaaWpPTmhOU0djODNR;https://photos.app.goo.gl/sdT1CTRvnutdm4gb9;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 18 - Osaka (Tempozan, Dotonbori);https://photos.google.com/share/AF1QipNNUqccsLgzCzzGBX6jgwTXwIr_T2S3c6GN5TLvA1-YLJptEIAQaU3eaUtHTZQqog?key=Wk1acGhxU1lramJINGJYQzQwQzllMHdHRjJhRS1R;https://photos.app.goo.gl/SqvxhQ7kkrsFwxeWA;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 17 - Kyoto (Saihōji Kokedera, Kegonji Suzumushidera , Gion, Ninenzaka), Osaka notturna;https://photos.google.com/share/AF1QipNWDR6vXFQ-TbdkALmeKPd3FuWryFEWsGofcKyew9GmgGiheElP3X3mrieDG4-I1Q?key=NktzYWU0dy1wLVJWVTl6a2s4LUptMXI2RDdqd213;https://photos.app.goo.gl/p6GGX8GEgJjstRrd6;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 16 - Osaka (Santuario di Sumiyoshi, e mercati vari);https://photos.google.com/share/AF1QipNjkOj-dgBe0n0bpHFYt1-ZHyJzVJZkJLRehjvuTslohO0T_KD8tqhbe_bNAQqFQA?key=alFuNEdqMWJ1OENVd2J1Y2RKY3B2ZDB1aHJUU0dn;https://photos.app.goo.gl/zGvJzAQ1684UMToV7;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 15 - Iwakuni (Kintaikyo Bridge e Castello), Hiroshima (Giardino Shukkei-en);https://photos.google.com/share/AF1QipPatCYdT405NvwJvg0kWw9U-7l6voh0AuJXa5o_S-QUwpAZ2zB4O24e20XGDlCBbw?key=Q1BHbnNOcngxdEFMSjhWUTkwYTctWEV6MGx3M3BR;https://photos.app.goo.gl/9aFXVdwwz1sKgCwP6;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 14 - Kitakyushu (Castello e giardino);https://photos.google.com/share/AF1QipPDvw-6bd8QxzOvqY03N9S8d1IqTZCAc6MH2sHx2cmYafJZNLBPmZVdt2YrEps5kw?key=VWZFTW50LU1zbldENnFfWUgxZDB4V2FTY0lYWnB3;https://photos.app.goo.gl/DUQrETvpxv6T6U4W6;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 13 - Kumamoto (Traditional Crafts Center, Giardino Suizenji);https://photos.google.com/share/AF1QipOk1XOGMPkBmPOaUGUNFlYJAvr3cLnq1veeVzMF63n0QrQGHf-FzYPQAO-9TgnkCQ?key=ZmxHNFV0RFNhdnYtQTdEcWJfZHJJWmlyVXJkTjJn;https://photos.app.goo.gl/saUciqxRJUNdgiKKA;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 12 - Verso Kumamoto (Monte Aso) e Kumamoto;https://photos.google.com/share/AF1QipPnvzZvWBIZ73awSZe3xYgrQEF3kOAmCmPCaG2vYUk_oFKmuw1JQJAkNXjL6TgsKw?key=dThZYzEwMVcyUTBNam1JMXowS2Y5VU5rZl84aHpB;https://photos.app.goo.gl/DbgPze4zQQN7otv26;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 11 - Verso Beppu e Beppu;https://photos.google.com/share/AF1QipMby4gu78jbiRdwKUyNc9hREIRSvwUaJ3yJMpcY1a0a6O7zS7czyYAuEGO0sQUi3A?key=aUJCdzVfUzZ2a29JVVJxOHpZMWFtTTU1dGxUbTN3;https://photos.app.goo.gl/YAB1vMFSgy7u764e8;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 10 - Matsuyama (Dogo onsen, Tempio Isaniwa);https://photos.google.com/share/AF1QipNdH_Y0_2-9CkSG6ydSZKM5BMWSdI2F5N8kOcBAByxLDiUdXuiPTtBpNlkwpVF5nQ?key=Y1VDR242Tmp4MGJGN3l0TktGaGVHWWhCX2JLNEtn;https://photos.app.goo.gl/mpFAUeT6VCXqZy1D7;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 09 - Ozu, Uckiko, Dogo Onsen notturna;https://photos.google.com/share/AF1QipONii8U50LLJNnA25oBbfwgD5Ol2Kvk2LD_sOxh4d8zV1Z7PmpdMsA04kyCByaeoQ?key=clNwUFFjMWFVc2FmeGRjUlB2NDNNeHk5YjczcHh3;https://photos.app.goo.gl/bVoQfTYuNH9Vxdu49;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 08 - Matsuyama (Castello, Tempio Ishite, Dogo Onsen);https://photos.google.com/share/AF1QipOSl1dvUjE5oeBvpg_YpHW8Twsmks-sNvvpozNzLBXOVpC5pHzb755Ifv6PoaPhJg?key=alEwOHNBT3p5LUlqakJMdlZwUHZpcGxrVWEyZ29R;https://photos.app.goo.gl/fF3RX1sB3dSDg69q7;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 07 - Uwajima (Giardino Tenshakōen, Warei Shrine);https://photos.google.com/share/AF1QipOuLsD6INHVp6teUZEJJPtRW-4L9wMOhrA2qDKp8MZnCMtPDgybjcM_Q58Tn7M-Wg?key=NDBxTF9IdWhHNTJrblkyT0s5RDJCNmlGbk94NXN3;https://photos.app.goo.gl/6RxTN4MxRqkugx2W8;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 06 - Kochi (Katsurahama Beach, Mount Godaisan);https://photos.google.com/share/AF1QipN0vQwjxX9OxIZfxVkGswzLWuxC70JEIF7IhIE2i_XmMpkpPhwtS6uM6Di3NCa66w?key=bnh2eHRBNmFEbnQ3Q3MwLVBLSUtCam91MlBMNGx3;https://photos.app.goo.gl/CYvfmUTa2EHydiWXA;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 05 - Honjima Island, Marugame (Giardino Nakatsu Banshoen);https://photos.google.com/share/AF1QipP4NczU_QHUi1ZNjpfkm5CDr_CA4fL3hXeNv1mwELPz4TsL35yHrnfM8jgCmJh0iA?key=cTA2LXAtLUcyY1M5aE96c25Ha0NteEpWcDdaLWpB;https://photos.app.goo.gl/oRkDHzS7NGQQLMkU7;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 03 - Naoshima;https://photos.google.com/share/AF1QipMcc7-zPnYhKdpYbjqsh_Y9OTV55M3u5I9-VEHs3KfMEhdaDqSwVFBIgsPVONWyyA?key=Z0JNTEJ1NFNmd19BZXgwZW54RmVrZVhNVkxDOXdn;https://photos.app.goo.gl/eKPWMrBwvqZgGkZk7;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 02 - Omihachiman;https://photos.google.com/share/AF1QipNaKeoObechf4Z5tywLPnmgIt4XlEFpdkd7pgwBVlgJtYmj7OiTcGUov0rbBuD6Dw?key=THM2a2lrWHlQa1M5X1NOQ3U1RWk5U0Z5bHFidjJ3;https://photos.app.goo.gl/ckza6pqXXhKecs3KA;;;NO;NO;Condiviso - Collabora disattivato
Giappone '26 - 01 - Arrivo serale ad Osaka;https://photos.google.com/share/AF1QipP-WRqKPS3PQiEA4rxlHfynhT9MtntCBPlLK22mi7-E-MWvxzryE34ZMNe8FUkVbg?key=YWxrTjJQZTQwclBpT05kSDkwUm9XQVdwZkgxU1J3;https://photos.app.goo.gl/TLhR9pxK8DzK12qV9;;;NO;NO;Condiviso - Collabora disattivato
2026.01.22 - Macchina parcheggiata a vanvera;https://photos.google.com/album/AF1QipP9rndQ_4rurkkGCpb39ephyDVIKcQ1VANB2hik;;;;;NO;Non condiviso
Infiltrazione (5 ottobre 2025);https://photos.google.com/share/AF1QipOMXUCjJyzTxgSlSSHSmE7PX1Rmdis8r0nvcJ3lRpXl_YV1Oj_k_X5UXvJmH7vfzw?key=dWZTVFVvNHpmOEREclRtQm45dlJWOXB4cVlRbC1B;https://photos.app.goo.gl/YzQJSS7G1kaTw3We9;05/10/2025;22/11/2025;NO;NO;Condiviso - Collabora disattivato
Infiltrazione box auto;https://photos.google.com/album/AF1QipMJ239WFX-m9mqzOuBZs1tx6Ra7BervNi2-nzn3;;;;;NO;Non condiviso
South England & Cornwall;https://photos.google.com/share/AF1QipO_6hdRMixU2lcQVNk2fhjP9WtuaK4C6C0pHdPcfnyajWCKFYnnubrGnsgJzZpl_g?key=WW10NzVqZWFZcnNHMEozcWctVHpzYmUwRFNCajN3;https://photos.app.goo.gl/27Ht4RP7J3fdMhVe6;24/07/2025;06/08/2025;NO;NO;Condiviso - Collabora disattivato
Calendario 2026;https://photos.google.com/share/AF1QipN9BuH2f1CgByU0vGOwS6nPH_B-MY5DCNAJ5tDIIr_Iis2wl_LcECbxvsdweOqs0w?key=aEpwN3l6ZDh6RTBCZjA4ZG5hSlZPeW5BTXVTaXZn;https://photos.app.goo.gl/TdsZCUkGp2m7KmFy7;19/01/2025;05/08/2025;NO;NO;Condiviso - Collabora disattivato
Grotte di Labante e Soprasasso;https://photos.google.com/share/AF1QipNF36_douPy7sLvzEMyTUDZWcCABS7pvfBr6BoVHFiVN_eATa_cp3JkxflQex46BA?key=bzZ0dDRUYVYyUGxjN2RxNDB2QU03dzVyUkJ1UGR3;https://photos.app.goo.gl/mPoSNetBTcZnYLqb6;18/05/2025;18/05/2025;NO;NO;Condiviso - Collabora disattivato
Il nostro gatto;https://photos.google.com/album/AF1QipOfzam6GHyKNG47CRzrALQRWsTwaa2Pf7mtwve8;;;;;NO;Non condiviso
Cervia - Via Piave 6;https://photos.google.com/share/AF1QipNDil_5b3xvAroufwfHUGn6jZnIRzrLFIaCX1JZ4Dtsk8yqOFvX1_wNX_z4vaTjpQ?key=S2huUWFsREE2VGVPSTZ0bkRldlNZWkZFQ0EzaEJR;https://photos.app.goo.gl/KwYREiasVn67biTA7;29/03/2025;29/03/2025;NO;NO;Condiviso - Collabora disattivato
Infiltrazioni box auto Bizzini (Via Bellettini 18);https://photos.google.com/share/AF1QipNQTrWGs9X8Z-seJp-8X7Z4IyHFX_InsIE9w6gaGowxex_pslrJjlGGlXlYG7LAJg?key=U2c3ZjFvOW53dW9GMUU3bVZ4ZUNNTzJ6WVhqekdB;https://photos.app.goo.gl/i6qA3MHzarubhdjq5;08/03/2025;08/03/2025;NO;NO;Condiviso - Collabora disattivato
Rovine del teatro romano di Bologna;https://photos.google.com/album/AF1QipN1JXktzkL0DWGe6DdWLtdHLNJtdK2a8ozAaLAv;;;;;NO;Non condiviso
2024 - Pillole Coreane;https://photos.google.com/share/AF1QipM0va5yJdSTfw4NRffPsQ6lJl9BDccLllKCDB6FRcZhtBcy4W3OZnPXgZr578jFww?key=RWRSSTBZT0NNVGlrNDE1ejM0b0g2WndKUGRpbVNR;https://photos.app.goo.gl/HGrjQ4vtZxHJp8Lv8;02/11/2024;19/11/2024;;NO;Errore - switch Collabora non trovato
Corea 2024 - 08 (Seul);https://photos.google.com/share/AF1QipM-_R4jFyxpzcsQizAbFVfihybILr6o-Q3WZo69Ryko6YysARh3MXRmo8A8p0BvAA?key=N09fU1g0QzZqS01LN2VoS0dHdXZ1VWdXZlJ3U3VB;https://photos.app.goo.gl/fae1U4ZJb8ZGPegaA;13/11/2024;13/11/2024;NO;NO;Condiviso - Collabora disattivato
Calendario 2025;https://photos.google.com/share/AF1QipNLjCxGk7oEBQPwIdVeDNRk-W4RP4Oc8HlW9qkLCLYldY5e-CZWqP4AIuwwq8Cg9g?key=U1Zsc2ZTRFU2d2FkamZibnpsNzE4bXhVcVhYZC1R;https://photos.app.goo.gl/TnsYcydNN1Zrmrzy6;25/06/2024;13/11/2024;NO;NO;Condiviso - Collabora disattivato
